static 'static'	 [StartOfLine]	Loc=<./tmp/code_9.c:1:1>
identifier 'av_cold'	 [LeadingSpace]	Loc=<./tmp/code_9.c:1:8>
int 'int'	 [LeadingSpace]	Loc=<./tmp/code_9.c:1:16>
identifier 'libschroedinger_encode_init'	 [LeadingSpace]	Loc=<./tmp/code_9.c:1:20>
l_paren '('		Loc=<./tmp/code_9.c:1:47>
identifier 'AVCodecContext'		Loc=<./tmp/code_9.c:1:48>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_9.c:1:63>
identifier 'avctx'		Loc=<./tmp/code_9.c:1:64>
r_paren ')'		Loc=<./tmp/code_9.c:1:69>
l_brace '{'	 [StartOfLine]	Loc=<./tmp/code_9.c:3:1>
identifier 'SchroEncoderParams'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_9.c:5:5>
star '*'	 [LeadingSpace]	Loc=<./tmp/code_9.c:5:24>
identifier 'p_schro_params'		Loc=<./tmp/code_9.c:5:25>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_9.c:5:40>
identifier 'avctx'	 [LeadingSpace]	Loc=<./tmp/code_9.c:5:42>
arrow '->'		Loc=<./tmp/code_9.c:5:47>
identifier 'priv_data'		Loc=<./tmp/code_9.c:5:49>
semi ';'		Loc=<./tmp/code_9.c:5:58>
identifier 'SchroVideoFormatEnum'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_9.c:7:5>
identifier 'preset'	 [LeadingSpace]	Loc=<./tmp/code_9.c:7:26>
semi ';'		Loc=<./tmp/code_9.c:7:32>
identifier 'schro_init'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_9.c:13:5>
l_paren '('		Loc=<./tmp/code_9.c:13:15>
r_paren ')'		Loc=<./tmp/code_9.c:13:16>
semi ';'		Loc=<./tmp/code_9.c:13:17>
identifier 'p_schro_params'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_9.c:19:5>
arrow '->'		Loc=<./tmp/code_9.c:19:19>
identifier 'encoder'		Loc=<./tmp/code_9.c:19:21>
equal '='	 [LeadingSpace]	Loc=<./tmp/code_9.c:19:29>
identifier 'schro_encoder_new'	 [LeadingSpace]	Loc=<./tmp/code_9.c:19:31>
l_paren '('		Loc=<./tmp/code_9.c:19:48>
r_paren ')'		Loc=<./tmp/code_9.c:19:49>
semi ';'		Loc=<./tmp/code_9.c:19:50>
if 'if'	 [StartOfLine] [LeadingSpace]	Loc=<./tmp/code_9.c:23:5>
l_paren '('	 [LeadingSpace]	Loc=<./tmp/code_9.c:23:8>
exclaim '!'		Loc=<./tmp/code_9.c:23:9>
identifier 'p_schro_params'		Loc=<./tmp/code_9.c:23:10>
